Shop ID,Name,Owner Name,City,State,Latitude,Longitude,Past Performance Score (0-100),Rice Capacity (kg),Rice Current Inventory (kg),Rice Price (INR/kg),Wheat Capacity (kg),Wheat Current Inventory (kg),Wheat Price (INR/kg),Dal Capacity (kg),Dal Current Inventory (kg),Dal Price (INR/kg),Sugar Capacity (kg),Sugar Current Inventory (kg),Sugar Price (INR/kg),Oil Capacity (kg),Oil Current Inventory (kg),Oil Price (INR/kg)
1,"Choudhury, Bakshi and Maharaj",Vincent Venkatesh,Jaipur,Rajasthan,26.91224421989291,75.74599202880874,88,2374,84,78.02,1595,380,23.89,3007,397,38.11,677,160,41.93,3537,361,72.3
2,Kapoor and Sons,Kashish Shanker,Kolkata,West Bengal,22.581284111802088,88.38844394741844,78,2178,450,48.83,2282,304,55.84,3463,111,58.46,4428,190,29.08,661,278,42.25
3,"Chaudry, Chahal and Sami",Girish Tiwari,Mumbai,Maharashtra,19.082445854252263,72.86557726259514,64,1115,44,26.97,3757,224,55.65,3928,205,59.91,3115,24,29.12,4725,429,57.83
4,Balan Inc,Meera Borde,Chennai,Tamil Nadu,13.069008229639865,80.28529172413316,92,2249,135,36.17,2497,306,91.65,3875,130,37.21,2113,419,47.81,2450,112,87.73
5,Kaul PLC,Radhika De,Delhi,Delhi,28.588335315546466,77.2088247697849,57,4325,342,63.64,2061,187,30.09,4455,368,41.75,3340,151,81.03,4820,29,46.84
6,"Bala, Issac and Saini",Bishakha Lal,Kolkata,West Bengal,22.58317748193569,88.3376226791736,70,4688,15,36.56,4506,69,29.86,4205,109,33.58,3447,94,68.64,2281,322,62.04
7,Sen PLC,Maya Narain,Kolkata,West Bengal,22.545133279771253,88.35043568196741,88,2977,332,63.52,2175,292,31.8,3905,369,77.48,2274,441,28.21,1977,475,74.37
8,Ahuja-Dutta,Sneha Magar,Hyderabad,Telangana,17.420081751783616,78.44548876245402,68,4005,194,38.53,1622,286,22.38,4538,66,81.61,4371,422,88.18,3530,160,80.36
9,"Sami, Oak and Mall",Falan Jain,Ahmedabad,Gujarat,23.062176542462645,72.52942337456616,72,3975,495,87.91,4481,481,25.74,1552,381,56.99,581,45,68.11,4486,233,33.91
10,Kale LLC,Ikbal Dugal,Bangalore,Karnataka,12.923424248142837,77.61429614623664,60,1635,8,51.78,1801,168,72.79,1213,85,77.13,1345,460,96.87,606,386,65.21
11,Chanda Group,Nitesh Sengupta,Ahmedabad,Gujarat,22.983703890216805,72.56118555990457,60,4500,315,39.64,1443,61,54.53,3388,274,78.87,3309,137,73.61,3168,452,92.98
12,Parmer LLC,Dipta Ray,Hyderabad,Telangana,17.33553000063976,78.53420671629452,73,874,333,84.99,1445,348,81.09,1187,226,31.06,1716,470,34.01,1664,376,97.47
13,"Lalla, Bassi and Sharaf",Ishita Johal,Ahmedabad,Gujarat,23.04478960966218,72.60348614731534,85,706,332,47.43,1100,441,99.41,829,459,97.29,3760,465,57.9,1657,338,72.49
14,"Dash, Radhakrishnan and Brar",Darika Sheth,Delhi,Delhi,28.619576289301396,77.21616126894699,89,1819,326,28.92,3200,13,72.72,2246,437,85.68,3645,287,71.88,2746,169,98.69
15,"Memon, Pathak and Handa",Jagdish Chana,Bangalore,Karnataka,13.005458255870263,77.56510775601494,73,1641,14,65.63,1917,163,24.04,1707,324,36.36,2763,352,22.26,1166,317,65.66
16,"Boase, Bath and Kari",Daksha Baria,Lucknow,Uttar Pradesh,26.829067923640423,80.93874364386164,52,3190,326,66.53,2024,419,28.37,2642,9,34.89,2837,163,21.19,2626,185,55.41
17,Buch-Kaul,Falak Divan,Mumbai,Maharashtra,19.09962471836985,72.88068400231812,71,3755,101,77.18,4266,244,90.48,1284,488,30.05,944,411,30.35,3441,56,64.13
18,Rai LLC,Yuvraj Parekh,Mumbai,Maharashtra,19.087062004244164,72.85656305532403,51,589,225,39.22,750,334,62.2,3196,416,31.07,1422,399,40.13,1011,239,29.26
19,Patla-Gaba,Yochana Bawa,Chennai,Tamil Nadu,13.083310395635936,80.3139014342257,73,4608,424,55.5,2044,7,85.99,4320,396,79.85,4788,15,54.36,749,256,52.14
20,Pant-Kadakia,Abha Ghosh,Bangalore,Karnataka,12.926782353682244,77.57826042781939,93,3520,277,42.59,578,153,88.53,4218,383,57.57,4884,17,59.0,1388,357,56.67
21,"Loke, Bora and Garg",Nidhi Sethi,Lucknow,Uttar Pradesh,26.851560311793815,80.9510921979889,79,2357,407,26.48,3623,35,94.21,3193,354,82.63,3130,135,31.04,1523,200,87.89
22,"Konda, Gade and Shere",Girindra Shere,Delhi,Delhi,28.596135384497472,77.23998744458547,87,1304,112,90.13,1397,47,95.99,1125,434,79.7,1667,489,73.87,1099,443,80.69
23,Madan-Kanda,Logan Dara,Mumbai,Maharashtra,19.039882477344204,72.82797108994144,51,1444,484,78.31,725,84,64.39,4734,287,68.37,4463,463,67.69,3522,324,68.11
24,"Nair, Bhalla and Karnik",David Kapadia,Jaipur,Rajasthan,26.921963874060786,75.78445761885501,70,3289,427,44.12,1709,27,47.28,4208,458,74.91,3941,246,43.56,3030,314,47.78
25,Mutti Group,Rudra Rattan,Pune,Maharashtra,18.549828944996644,73.81736992501135,82,4375,0,67.95,2678,195,96.95,1261,111,21.47,4012,247,21.09,3383,301,34.96
26,Bhatti-Kakar,Frado Lad,Chennai,Tamil Nadu,13.115761940778773,80.31720269106665,61,2110,265,36.1,3179,445,63.79,4479,485,44.94,1395,330,26.21,2564,105,47.82
27,"Murty, Kala and Tata",Anthony Bhattacharyya,Chennai,Tamil Nadu,13.105786747520366,80.31453404568211,71,3423,490,91.22,3385,207,25.14,4029,23,71.03,4222,197,51.34,2258,289,74.38
28,Shanker-Dhar,Sachi Dave,Bangalore,Karnataka,12.928249626736678,77.618712064929,93,4382,207,29.19,3306,469,71.42,2055,290,20.75,2560,0,32.32,4069,100,41.04
29,Dewan-Koshy,Garima Das,Kolkata,West Bengal,22.52740946439641,88.39205144817514,74,3721,109,20.31,1203,203,67.01,4133,338,22.64,3534,189,50.15,1742,96,54.15
30,"Yohannan, Lall and Sangha",Triya Bedi,Jaipur,Rajasthan,26.937450192476533,75.81725371309196,98,4891,199,60.16,3044,463,91.66,1175,325,88.15,2887,380,70.25,4829,152,50.94
31,"Rastogi, Pathak and Kanda",Rachita Rana,Bangalore,Karnataka,12.9380265797931,77.62605747202313,76,2887,439,66.65,2870,306,72.25,4687,167,74.72,2397,459,63.78,2795,425,81.25
32,Upadhyay Group,Ayushman Raja,Lucknow,Uttar Pradesh,26.88748661304625,80.92781965822965,91,1441,368,66.32,3781,103,47.92,536,437,41.23,2299,293,38.49,2425,28,90.7
33,Batta Inc,Orinder Pandya,Lucknow,Uttar Pradesh,26.835944510742262,80.97785994394717,77,3066,472,24.36,828,229,97.3,4336,108,75.04,4907,475,47.51,2562,152,75.95
34,Dutta Ltd,Rachit Maharaj,Pune,Maharashtra,18.54177824548553,73.89666674452923,65,1475,305,45.12,4728,425,84.13,2287,427,83.4,3280,44,69.12,3895,437,47.33
35,Bhatt-Rajan,Sanaya Dixit,Kolkata,West Bengal,22.576578106191466,88.35777446753883,64,1454,11,59.94,620,100,70.43,3227,189,44.54,1627,441,88.87,940,378,54.65
36,Sidhu-Wadhwa,Yatan Merchant,Mumbai,Maharashtra,19.049221269514682,72.91765745732746,96,1762,344,37.33,1464,28,43.43,4380,489,22.88,838,336,80.26,3243,72,31.47
37,Apte-Contractor,Nisha Srinivas,Pune,Maharashtra,18.523585747968816,73.81336191123908,100,1443,464,89.81,4724,126,49.88,2394,354,94.62,4954,384,64.27,506,253,33.45
38,"Yadav, Loke and Oak",Gagan Mammen,Ahmedabad,Gujarat,23.0349237995914,72.53308980407084,93,2702,187,26.97,4175,337,73.6,636,195,47.61,1672,31,48.98,2086,450,33.14
39,Memon Group,Laksh Saini,Kolkata,West Bengal,22.55588157859125,88.38695491368092,52,3827,153,58.99,2576,9,25.76,3576,32,28.52,3308,391,49.2,1325,398,30.45
40,Setty Inc,Zaid Bahl,Lucknow,Uttar Pradesh,26.810627207266336,80.97560251892703,86,4774,493,75.31,832,105,40.53,4383,204,59.35,3529,117,90.35,4324,3,34.37
41,"Lall, Tella and Gokhale",Jagrati Srinivasan,Mumbai,Maharashtra,19.079346109197633,72.9170892583051,100,2759,367,40.94,3868,166,77.11,1161,311,81.48,2589,295,23.14,1768,236,36.22
42,"Cherian, Misra and Tripathi",Hemangini Thakkar,Hyderabad,Telangana,17.434769261592386,78.51194031200389,56,2328,333,69.94,1816,465,58.4,2310,419,37.73,4797,183,99.04,3936,37,28.95
43,"Issac, Dua and Prakash",Lipika Madan,Chennai,Tamil Nadu,13.110557193905075,80.23501279855485,70,1757,424,86.35,1696,256,52.19,914,181,41.56,3517,190,73.15,3938,19,71.22
44,Zacharia PLC,Atharv Nagar,Hyderabad,Telangana,17.391988968487134,78.51294586857406,58,964,419,35.23,3670,294,32.12,842,490,39.42,948,234,74.49,1810,112,99.23
45,Naik Group,Ayushman Mand,Lucknow,Uttar Pradesh,26.83090817487159,80.9783257304672,88,3794,376,93.38,1929,276,55.35,3229,146,99.33,1293,237,23.04,4533,22,90.33
46,Choudhury LLC,Urmi Wagle,Hyderabad,Telangana,17.38070002192817,78.49709578720724,67,1730,278,64.28,855,64,81.66,3950,426,35.79,936,215,68.44,2127,420,23.65
47,Khatri-Bhardwaj,Viraj Dutta,Ahmedabad,Gujarat,22.98749174273488,72.54432513952327,53,3154,170,43.94,4734,270,41.12,4165,267,66.04,2120,73,58.78,1536,445,53.84
48,Brar Inc,Yug Khosla,Delhi,Delhi,28.565120307231805,77.21884427012053,74,1384,133,54.47,2026,387,20.43,4237,10,94.02,4001,110,28.46,977,366,88.74
49,"Sunder, Biswas and Walia",Daksh Kanda,Hyderabad,Telangana,17.38927244433476,78.4618799058907,63,4305,494,44.98,4397,187,73.48,4397,69,31.75,3419,102,42.23,3178,135,30.77
50,Dave Ltd,Isha Ghose,Chennai,Tamil Nadu,13.115379882780909,80.31660747945641,99,4356,452,78.01,528,316,97.81,4741,255,97.67,4808,358,91.23,1214,420,87.81
51,Gandhi-Lanka,Warjas Nadkarni,Ahmedabad,Gujarat,23.03083917947661,72.56148514167636,58,3635,426,83.7,1513,403,68.55,4918,395,95.8,1448,73,64.0,2176,247,67.42
52,"Sampath, Kakar and Zacharia",Ayaan Pandey,Lucknow,Uttar Pradesh,26.89142833396118,80.91153514031161,75,1424,24,86.63,3202,137,29.59,2669,218,90.77,4444,419,53.07,2662,300,94.5
53,"Iyer, Muni and Rastogi",Raghav Tailor,Ahmedabad,Gujarat,23.023088867888447,72.58254542354346,51,2046,17,98.86,1327,342,45.66,2378,296,37.16,1627,472,25.81,1008,96,90.08
54,"Prakash, Sarma and Varughese",Parth Swaminathan,Ahmedabad,Gujarat,23.059712390894415,72.61461182824836,69,1594,189,83.3,4946,104,89.41,4470,408,70.72,691,251,77.13,881,32,74.16
55,Dara-Kota,Gautam Bhalla,Hyderabad,Telangana,17.426875052226077,78.51570846371241,77,2911,140,68.11,2524,33,38.61,3117,361,80.87,4512,113,76.23,1680,134,72.63
56,Bhatt LLC,Theodore Bahri,Chennai,Tamil Nadu,13.10342386343134,80.23595390429143,96,3117,42,47.14,798,379,68.62,2015,258,98.88,4260,378,69.12,2345,254,37.05
57,Karpe PLC,Aadi Narula,Lucknow,Uttar Pradesh,26.80359215393672,80.90393210654888,56,1262,333,63.57,2365,109,52.21,1074,2,34.43,4230,312,60.82,4870,277,29.34
58,Amble Inc,Kalpit Oak,Ahmedabad,Gujarat,23.056543963198042,72.61246861982556,93,2823,283,23.29,4516,431,36.63,4942,83,81.28,1903,329,54.7,2218,132,53.23
59,"Bhargava, Karnik and Bir",Ekiya Bhargava,Mumbai,Maharashtra,19.037323804584076,72.92618411989623,57,4645,145,79.59,2611,32,85.07,3367,155,47.1,2490,338,67.46,1600,237,34.93
60,Narayanan Inc,Manbir Dhar,Hyderabad,Telangana,17.34746626812033,78.52878418826174,96,3275,314,55.68,1254,353,79.43,4044,150,34.05,1604,237,38.67,2360,14,28.19
61,"Khanna, Mallick and Sunder",Janya Bora,Kolkata,West Bengal,22.57448380571261,88.3730275435745,84,3655,443,21.6,1269,230,72.93,4977,175,53.71,1048,172,95.3,2591,276,44.19
62,Zacharia and Sons,Meghana Chaudhuri,Chennai,Tamil Nadu,13.070630569838556,80.29512496518433,63,4470,318,25.0,4235,316,38.91,571,194,83.51,3948,78,67.1,1217,125,88.84
63,"Solanki, Kibe and Solanki",Chasmum Naidu,Lucknow,Uttar Pradesh,26.8769853448598,80.89666320230046,66,2540,440,51.0,1738,265,27.83,3068,425,57.19,2361,463,44.9,817,344,21.37
64,Gupta-Chandra,Nakul Sarkar,Jaipur,Rajasthan,26.87382673000557,75.77875045842036,85,1083,91,66.67,2713,181,66.09,3937,471,63.0,4749,385,55.97,2276,16,43.41
65,Sankar LLC,Edhitha Ghosh,Lucknow,Uttar Pradesh,26.888685561641275,80.9308345994366,99,4831,178,57.14,2406,339,64.29,3480,106,99.61,1070,92,84.45,2784,311,53.92
66,Roy-Sibal,Udant Gill,Delhi,Delhi,28.61198369780891,77.25084547249394,89,2603,55,69.54,2064,64,35.07,1617,423,51.93,2284,451,32.93,1744,49,60.85
67,"Bhagat, Chaudhari and Bhat",Damyanti Menon,Bangalore,Karnataka,12.946422644275716,77.60236319540915,53,2442,154,58.42,1718,332,24.5,2886,133,69.23,2787,49,43.43,1833,134,34.53
68,Nori-Chopra,Peter Agarwal,Hyderabad,Telangana,17.376892544950458,78.5281845901068,51,4955,159,72.94,1857,0,26.46,4008,275,49.22,2921,284,74.36,4169,117,97.14
