State,Date,Population,Food Wasted (Tonnes),Wastage by Type,Sector,Greenhouse Gas Emissions (CO2eq),Waste Disposal Method,Food Insecurity Rate (%),Cold Chain Infrastructure,Economic Cost of Waste (INR Cr)
Andhra Pradesh,2010-01-01,76207537,349284.55,"{'Fruits': 87321.13699057049, 'Vegetables': 104785.36438868458, 'Grains': 69856.9095924564, 'Dairy': 52392.68219434229, 'Meat': 17464.2273981141, 'Processed Foods': 17464.2273981141}",Hospitality,300016.14,"{'Landfill': 180332.64842612363, 'Composting': 52478.40244513578, 'Recycling': 44139.81952929591}",13.33,Medium,146399634.53
Arunachal Pradesh,2010-01-01,1091256,5001.59,"{'Fruits': 1250.3976634050784, 'Vegetables': 1500.4771960860942, 'Grains': 1000.3181307240628, 'Dairy': 750.2385980430471, 'Meat': 250.0795326810157, 'Processed Foods': 250.0795326810157}",Household,4922.66,"{'Landfill': 3180.1038416814636, 'Composting': 1202.1431253267974, 'Recycling': 727.0145745983552}",16.58,Medium,30019.09
Assam,2010-01-01,26702793,122387.8,"{'Fruits': 30596.950959736103, 'Vegetables': 36716.34115168332, 'Grains': 24477.560767788884, 'Dairy': 18358.17057584166, 'Meat': 6119.390191947221, 'Processed Foods': 6119.390191947221}",Household,110948.74,"{'Landfill': 70414.77001691183, 'Composting': 22889.294229177336, 'Recycling': 14422.852500060411}",17.36,Medium,17974529.43
Bihar,2010-01-01,100985177,462848.73,"{'Fruits': 115712.18279071327, 'Vegetables': 138854.61934885592, 'Grains': 92569.74623257061, 'Dairy': 69427.30967442796, 'Meat': 23142.436558142654, 'Processed Foods': 23142.436558142654}",Hospitality,490196.89,"{'Landfill': 262867.3081276608, 'Composting': 52359.54443343448, 'Recycling': 77587.97426390428}",39.93,Low,257074737.53
Chhattisgarh,2010-01-01,25265538,115800.39,"{'Fruits': 28950.09663378958, 'Vegetables': 34740.1159605475, 'Grains': 23160.077307031665, 'Dairy': 17370.05798027375, 'Meat': 5790.019326757916, 'Processed Foods': 5790.019326757916}",Food Processing,119566.53,"{'Landfill': 63628.93147458177, 'Composting': 19993.61007939285, 'Recycling': 17468.3749292914}",18.82,Low,16091675.43
Goa,2010-01-01,1326004,6077.52,"{'Fruits': 1519.3801855942086, 'Vegetables': 1823.2562227130502, 'Grains': 1215.504148475367, 'Dairy': 911.6281113565251, 'Meat': 303.87603711884174, 'Processed Foods': 303.87603711884174}",Retail,5699.76,"{'Landfill': 4086.657206599499, 'Composting': 1159.0535546794754, 'Recycling': 800.6771306533218}",27.03,Medium,44323.51
Gujarat,2010-01-01,60467416,277142.32,"{'Fruits': 69285.58087632092, 'Vegetables': 83142.6970515851, 'Grains': 55428.46470105674, 'Dairy': 41571.34852579255, 'Meat': 13857.116175264186, 'Processed Foods': 13857.116175264186}",Household,305844.37,"{'Landfill': 180947.34061319215, 'Composting': 64446.777451762566, 'Recycling': 34056.32711481467}",15.34,High,92169440.97
Haryana,2010-01-01,24602570,112761.78,"{'Fruits': 28190.445009387753, 'Vegetables': 33828.5340112653, 'Grains': 22552.356007510203, 'Dairy': 16914.26700563265, 'Meat': 5638.089001877551, 'Processed Foods': 5638.089001877551}",Household,98118.48,"{'Landfill': 59884.46528164148, 'Composting': 26565.930724649686, 'Recycling': 18381.05759532352}",24.17,Low,15258262.84
Himachal Pradesh,2010-01-01,5875158,26927.81,"{'Fruits': 6731.952494861212, 'Vegetables': 8078.342993833454, 'Grains': 5385.561995888969, 'Dairy': 4039.171496916727, 'Meat': 1346.3904989722423, 'Processed Foods': 1346.3904989722423}",Agriculture,24976.32,"{'Landfill': 14082.794049312835, 'Composting': 7624.578169786817, 'Recycling': 4745.684506482197}",20.84,Medium,870128.34
Jharkhand,2010-01-01,32825237,150449.0,"{'Fruits': 37612.25078591736, 'Vegetables': 45134.70094310083, 'Grains': 30089.800628733887, 'Dairy': 22567.350471550413, 'Meat': 7522.450157183472, 'Processed Foods': 7522.450157183472}",Hospitality,154443.51,"{'Landfill': 102999.68212983197, 'Composting': 31783.188033765273, 'Recycling': 16002.154323778963}",32.16,Low,27161883.06
